Vardas         Pavarde        Galutinis (Vid.)  Galutinis (Med.)  
Vardas597      Pavarde597     6.20              6.00              
Vardas773      Pavarde773     6.80              6.00              
Vardas230      Pavarde230     5.73              6.00              
Vardas844      Pavarde844     7.53              6.00              
Vardas354      Pavarde354     6.67              6.00              
Vardas845      Pavarde845     5.27              6.00              
Vardas225      Pavarde225     6.27              6.00              
Vardas848      Pavarde848     5.33              6.00              
Vardas219      Pavarde219     7.80              6.00              
Vardas784      Pavarde784     7.60              6.00              
Vardas800      Pavarde800     5.27              6.00              
Vardas278      Pavarde278     6.47              6.00              
Vardas276      Pavarde276     6.00              6.00              
Vardas6        Pavarde6       8.27              6.00              
Vardas786      Pavarde786     7.53              6.00              
Vardas139      Pavarde139     5.87              6.00              
Vardas782      Pavarde782     5.33              6.00              
Vardas778      Pavarde778     8.27              6.00              
Vardas319      Pavarde319     7.20              6.00              
Vardas588      Pavarde588     8.80              6.00              
Vardas703      Pavarde703     8.27              6.00              
Vardas399      Pavarde399     6.00              6.00              
Vardas715      Pavarde715     5.33              6.00              
Vardas25       Pavarde25      8.27              6.00              
Vardas172      Pavarde172     5.53              6.00              
Vardas168      Pavarde168     6.60              6.00              
Vardas709      Pavarde709     5.67              6.00              
Vardas157      Pavarde157     7.87              6.00              
Vardas17       Pavarde17      8.53              6.00              
Vardas155      Pavarde155     8.33              6.00              
Vardas423      Pavarde423     7.20              6.00              
Vardas903      Pavarde903     8.13              6.00              
Vardas904      Pavarde904     6.00              6.00              
Vardas144      Pavarde144     7.07              6.00              
Vardas363      Pavarde363     5.13              6.00              
Vardas567      Pavarde567     5.73              6.00              
Vardas566      Pavarde566     8.40              6.00              
Vardas194      Pavarde194     7.60              6.00              
Vardas988      Pavarde988     6.27              6.00              
Vardas21       Pavarde21      8.27              6.00              
Vardas390      Pavarde390     5.27              6.00              
Vardas876      Pavarde876     6.33              6.00              
Vardas184      Pavarde184     5.87              6.00              
Vardas183      Pavarde183     7.47              6.00              
Vardas877      Pavarde877     7.27              6.00              
Vardas973      Pavarde973     6.07              5.00              
Vardas969      Pavarde969     5.47              5.00              
Vardas600      Pavarde600     7.47              5.00              
Vardas993      Pavarde993     6.13              5.00              
Vardas986      Pavarde986     5.80              5.00              
Vardas762      Pavarde762     7.27              5.00              
Vardas881      Pavarde881     6.40              5.00              
Vardas878      Pavarde878     7.87              5.00              
Vardas727      Pavarde727     6.20              5.00              
Vardas875      Pavarde875     5.40              5.00              
Vardas734      Pavarde734     5.47              5.00              
Vardas871      Pavarde871     6.93              5.00              
Vardas867      Pavarde867     5.13              5.00              
Vardas855      Pavarde855     8.00              5.00              
Vardas849      Pavarde849     6.93              5.00              
Vardas897      Pavarde897     5.33              5.00              
Vardas821      Pavarde821     6.33              5.00              
Vardas771      Pavarde771     7.53              5.00              
Vardas772      Pavarde772     7.07              5.00              
Vardas817      Pavarde817     6.87              5.00              
Vardas814      Pavarde814     7.40              5.00              
Vardas813      Pavarde813     5.87              5.00              
Vardas807      Pavarde807     5.00              5.00              
Vardas792      Pavarde792     7.53              5.00              
Vardas935      Pavarde935     5.87              5.00              
Vardas617      Pavarde617     8.00              5.00              
Vardas949      Pavarde949     7.20              5.00              
Vardas646      Pavarde646     5.53              5.00              
Vardas648      Pavarde648     6.40              5.00              
Vardas939      Pavarde939     5.20              5.00              
Vardas967      Pavarde967     7.87              5.00              
Vardas661      Pavarde661     5.27              5.00              
Vardas670      Pavarde670     7.07              5.00              
Vardas674      Pavarde674     5.87              5.00              
Vardas679      Pavarde679     8.53              5.00              
Vardas915      Pavarde915     5.27              5.00              
Vardas912      Pavarde912     6.07              5.00              
Vardas695      Pavarde695     6.07              5.00              
Vardas899      Pavarde899     6.33              5.00              
Vardas170      Pavarde170     6.07              5.00              
Vardas161      Pavarde161     6.53              5.00              
Vardas332      Pavarde332     6.07              5.00              
Vardas451      Pavarde451     5.60              5.00              
Vardas330      Pavarde330     7.33              5.00              
Vardas454      Pavarde454     6.00              5.00              
Vardas464      Pavarde464     5.27              5.00              
Vardas78       Pavarde78      8.07              5.00              
Vardas318      Pavarde318     8.00              5.00              
Vardas472      Pavarde472     7.00              5.00              
Vardas474      Pavarde474     6.80              5.00              
Vardas444      Pavarde444     6.00              5.00              
Vardas312      Pavarde312     7.20              5.00              
Vardas175      Pavarde175     6.87              5.00              
Vardas57       Pavarde57      6.33              5.00              
Vardas179      Pavarde179     8.40              5.00              
Vardas180      Pavarde180     6.07              5.00              
Vardas394      Pavarde394     5.87              5.00              
Vardas140      Pavarde140     5.27              5.00              
Vardas396      Pavarde396     7.93              5.00              
Vardas379      Pavarde379     5.13              5.00              
Vardas378      Pavarde378     6.33              5.00              
Vardas417      Pavarde417     6.67              5.00              
Vardas419      Pavarde419     6.73              5.00              
Vardas74       Pavarde74      5.87              5.00              
Vardas365      Pavarde365     6.80              5.00              
Vardas362      Pavarde362     7.47              5.00              
Vardas149      Pavarde149     5.60              5.00              
Vardas150      Pavarde150     8.00              5.00              
Vardas159      Pavarde159     8.00              5.00              
Vardas98       Pavarde98      7.40              5.00              
Vardas4        Pavarde4       6.20              5.00              
Vardas265      Pavarde265     7.07              5.00              
Vardas235      Pavarde235     6.80              5.00              
Vardas240      Pavarde240     6.20              5.00              
Vardas229      Pavarde229     6.53              5.00              
Vardas565      Pavarde565     5.73              5.00              
Vardas557      Pavarde557     7.87              5.00              
Vardas214      Pavarde214     7.53              5.00              
Vardas19       Pavarde19      6.53              5.00              
Vardas554      Pavarde554     6.27              5.00              
Vardas277      Pavarde277     5.00              5.00              
Vardas207      Pavarde207     6.60              5.00              
Vardas510      Pavarde510     8.00              5.00              
Vardas204      Pavarde204     7.13              5.00              
Vardas516      Pavarde516     6.60              5.00              
Vardas909      Pavarde909     6.67              4.00              
Vardas244      Pavarde244     5.07              4.00              
Vardas902      Pavarde902     6.53              4.00              
Vardas761      Pavarde761     6.33              4.00              
Vardas841      Pavarde841     5.20              4.00              
Vardas358      Pavarde358     6.33              4.00              
Vardas384      Pavarde384     7.47              4.00              
Vardas735      Pavarde735     7.73              4.00              
Vardas373      Pavarde373     6.47              4.00              
Vardas241      Pavarde241     7.53              4.00              
Vardas838      Pavarde838     5.47              4.00              
Vardas261      Pavarde261     6.33              4.00              
Vardas169      Pavarde169     5.40              4.00              
Vardas208      Pavarde208     7.27              4.00              
Vardas779      Pavarde779     5.80              4.00              
Vardas1        Pavarde1       6.13              4.00              
Vardas272      Pavarde272     7.13              4.00              
Vardas311      Pavarde311     7.13              4.00              
Vardas787      Pavarde787     5.67              4.00              
Vardas291      Pavarde291     5.47              4.00              
Vardas353      Pavarde353     6.07              4.00              
Vardas245      Pavarde245     5.07              4.00              
Vardas246      Pavarde246     8.00              4.00              
Vardas757      Pavarde757     7.07              4.00              
Vardas759      Pavarde759     5.80              4.00              
Vardas251      Pavarde251     6.27              4.00              
Vardas960      Pavarde960     7.67              4.00              
Vardas47       Pavarde47      5.80              4.00              
Vardas54       Pavarde54      5.13              4.00              
Vardas494      Pavarde494     5.80              4.00              
Vardas493      Pavarde493     7.27              4.00              
Vardas42       Pavarde42      8.27              4.00              
Vardas58       Pavarde58      5.33              4.00              
Vardas65       Pavarde65      7.53              4.00              
Vardas476      Pavarde476     5.80              4.00              
Vardas469      Pavarde469     6.87              4.00              
Vardas614      Pavarde614     6.93              4.00              
Vardas581      Pavarde581     5.60              4.00              
Vardas7        Pavarde7       5.33              4.00              
Vardas553      Pavarde553     5.27              4.00              
Vardas544      Pavarde544     7.33              4.00              
Vardas724      Pavarde724     5.33              4.00              
Vardas534      Pavarde534     6.07              4.00              
Vardas531      Pavarde531     6.27              4.00              
Vardas985      Pavarde985     6.47              4.00              
Vardas33       Pavarde33      7.87              4.00              
Vardas980      Pavarde980     6.73              4.00              
Vardas35       Pavarde35      7.73              4.00              
Vardas527      Pavarde527     7.40              4.00              
Vardas36       Pavarde36      6.87              4.00              
Vardas520      Pavarde520     6.93              4.00              
Vardas116      Pavarde116     5.93              4.00              
Vardas691      Pavarde691     6.73              4.00              
Vardas432      Pavarde432     5.33              4.00              
Vardas428      Pavarde428     7.13              4.00              
Vardas427      Pavarde427     7.00              4.00              
Vardas707      Pavarde707     5.33              4.00              
Vardas412      Pavarde412     6.20              4.00              
Vardas921      Pavarde921     5.67              4.00              
Vardas400      Pavarde400     5.00              4.00              
Vardas123      Pavarde123     6.53              4.00              
Vardas129      Pavarde129     7.00              4.00              
Vardas393      Pavarde393     6.27              4.00              
Vardas132      Pavarde132     6.67              4.00              
Vardas439      Pavarde439     8.13              4.00              
Vardas88       Pavarde88      8.40              4.00              
Vardas685      Pavarde685     6.47              4.00              
Vardas108      Pavarde108     5.47              4.00              
Vardas92       Pavarde92      6.93              4.00              
Vardas684      Pavarde684     5.47              4.00              
Vardas678      Pavarde678     6.67              4.00              
Vardas992      Pavarde992     6.73              3.00              
Vardas16       Pavarde16      7.13              3.00              
Vardas165      Pavarde165     6.27              3.00              
Vardas889      Pavarde889     7.07              3.00              
Vardas130      Pavarde130     6.60              3.00              
Vardas14       Pavarde14      6.20              3.00              
Vardas911      Pavarde911     5.53              3.00              
Vardas998      Pavarde998     6.20              3.00              
Vardas893      Pavarde893     7.40              3.00              
Vardas3        Pavarde3       6.73              3.00              
Vardas846      Pavarde846     7.20              3.00              
Vardas97       Pavarde97      5.40              3.00              
Vardas56       Pavarde56      6.33              3.00              
Vardas927      Pavarde927     5.47              3.00              
Vardas206      Pavarde206     6.53              3.00              
Vardas866      Pavarde866     7.00              3.00              
Vardas41       Pavarde41      6.73              3.00              
Vardas100      Pavarde100     6.73              3.00              
Vardas864      Pavarde864     7.27              3.00              
Vardas725      Pavarde725     7.60              3.00              
Vardas389      Pavarde389     7.53              3.00              
Vardas388      Pavarde388     7.20              3.00              
Vardas736      Pavarde736     6.73              3.00              
Vardas488      Pavarde488     5.80              3.00              
Vardas491      Pavarde491     7.47              3.00              
Vardas485      Pavarde485     5.80              3.00              
Vardas317      Pavarde317     6.67              3.00              
Vardas671      Pavarde671     5.80              3.00              
Vardas676      Pavarde676     6.00              3.00              
Vardas677      Pavarde677     7.07              3.00              
Vardas680      Pavarde680     5.47              3.00              
Vardas768      Pavarde768     6.67              3.00              
Vardas420      Pavarde420     6.07              3.00              
Vardas704      Pavarde704     6.00              3.00              
Vardas705      Pavarde705     6.27              3.00              
Vardas414      Pavarde414     5.47              3.00              
Vardas409      Pavarde409     7.07              3.00              
Vardas482      Pavarde482     5.07              3.00              
Vardas314      Pavarde314     5.80              3.00              
Vardas266      Pavarde266     6.87              3.00              
Vardas542      Pavarde542     6.60              3.00              
Vardas283      Pavarde283     6.67              3.00              
Vardas804      Pavarde804     5.40              3.00              
Vardas798      Pavarde798     6.33              3.00              
Vardas820      Pavarde820     5.93              3.00              
Vardas249      Pavarde249     6.20              3.00              
Vardas794      Pavarde794     7.27              3.00              
Vardas305      Pavarde305     5.80              3.00              
Vardas826      Pavarde826     5.87              3.00              
Vardas242      Pavarde242     7.20              3.00              
Vardas571      Pavarde571     7.87              3.00              
Vardas842      Pavarde842     7.27              3.00              
Vardas236      Pavarde236     7.13              3.00              
Vardas594      Pavarde594     7.53              3.00              
Vardas579      Pavarde579     7.07              2.00              
Vardas994      Pavarde994     6.27              2.00              
Vardas84       Pavarde84      5.27              2.00              
Vardas629      Pavarde629     5.93              2.00              
Vardas43       Pavarde43      6.80              2.00              
Vardas508      Pavarde508     5.07              2.00              
Vardas503      Pavarde503     6.40              2.00              
Vardas51       Pavarde51      5.53              2.00              
Vardas977      Pavarde977     6.40              2.00              
Vardas621      Pavarde621     7.13              2.00              
Vardas647      Pavarde647     6.60              2.00              
Vardas981      Pavarde981     7.47              2.00              
Vardas650      Pavarde650     7.73              2.00              
Vardas64       Pavarde64      6.40              2.00              
Vardas326      Pavarde326     6.87              2.00              
Vardas781      Pavarde781     6.93              2.00              
Vardas171      Pavarde171     6.60              2.00              
Vardas176      Pavarde176     5.20              2.00              
Vardas178      Pavarde178     5.13              2.00              
Vardas446      Pavarde446     6.47              2.00              
Vardas267      Pavarde267     7.13              2.00              
Vardas858      Pavarde858     5.33              2.00              
Vardas831      Pavarde831     5.67              2.00              
Vardas837      Pavarde837     6.60              2.00              
Vardas334      Pavarde334     6.93              2.00              
Vardas114      Pavarde114     7.20              2.00              
Vardas694      Pavarde694     5.27              2.00              
Vardas721      Pavarde721     5.87              2.00              
Vardas742      Pavarde742     7.13              2.00              
Vardas756      Pavarde756     6.73              2.00              
Vardas942      Pavarde942     6.67              2.00              
Vardas767      Pavarde767     5.33              2.00              
Vardas585      Pavarde585     6.13              1.00              
Vardas710      Pavarde710     6.73              1.00              
Vardas717      Pavarde717     7.60              1.00              
Vardas392      Pavarde392     6.00              1.00              
Vardas348      Pavarde348     5.73              1.00              
Vardas964      Pavarde964     6.93              1.00              
