Vardas         Pavarde        Galutinis (Vid.)  Galutinis (Med.)  
Vardas8313     Pavarde8313    8.72              7.00              
Vardas8971     Pavarde8971    8.72              7.00              
Vardas2967     Pavarde2967    8.72              7.00              
Vardas9872     Pavarde9872    8.72              7.00              
Vardas8713     Pavarde8713    8.72              6.00              
Vardas9841     Pavarde9841    8.72              8.00              
Vardas6486     Pavarde6486    8.72              7.00              
Vardas3185     Pavarde3185    8.72              8.00              
Vardas9192     Pavarde9192    8.72              7.00              
Vardas6258     Pavarde6258    8.72              8.00              
Vardas4093     Pavarde4093    8.72              7.00              
Vardas5921     Pavarde5921    8.72              8.00              
Vardas5923     Pavarde5923    8.72              10.00             
Vardas7733     Pavarde7733    8.72              8.00              
Vardas2066     Pavarde2066    8.72              7.00              
Vardas5683     Pavarde5683    8.72              8.00              
Vardas7916     Pavarde7916    8.72              7.00              
Vardas8064     Pavarde8064    8.72              9.00              
Vardas9383     Pavarde9383    8.72              7.00              
Vardas6390     Pavarde6390    8.72              6.00              
Vardas1829     Pavarde1829    8.72              8.00              
Vardas4384     Pavarde4384    8.72              8.00              
Vardas2744     Pavarde2744    8.72              9.00              
Vardas8242     Pavarde8242    8.72              7.00              
Vardas7464     Pavarde7464    8.68              9.00              
Vardas5255     Pavarde5255    8.68              9.00              
Vardas5628     Pavarde5628    8.68              8.00              
Vardas3902     Pavarde3902    8.68              9.00              
Vardas8982     Pavarde8982    8.68              9.00              
Vardas7281     Pavarde7281    8.68              8.00              
Vardas5009     Pavarde5009    8.68              9.00              
Vardas2840     Pavarde2840    8.68              9.00              
Vardas9894     Pavarde9894    8.68              8.00              
Vardas6886     Pavarde6886    8.64              8.00              
Vardas5910     Pavarde5910    8.64              6.00              
Vardas4726     Pavarde4726    8.64              7.00              
Vardas9022     Pavarde9022    8.64              7.00              
Vardas4816     Pavarde4816    8.64              9.00              
Vardas4841     Pavarde4841    8.64              7.00              
Vardas6880     Pavarde6880    8.64              7.00              
Vardas7889     Pavarde7889    8.64              7.00              
Vardas2426     Pavarde2426    8.64              6.00              
Vardas1538     Pavarde1538    8.64              7.00              
Vardas2484     Pavarde2484    8.64              7.00              
Vardas2463     Pavarde2463    8.64              6.00              
Vardas3354     Pavarde3354    8.64              7.00              
Vardas7588     Pavarde7588    8.64              7.00              
Vardas8148     Pavarde8148    8.64              9.00              
Vardas4294     Pavarde4294    8.64              9.00              
Vardas9342     Pavarde9342    8.64              7.00              
Vardas2952     Pavarde2952    8.64              8.00              
Vardas7863     Pavarde7863    8.64              7.00              
Vardas4923     Pavarde4923    8.64              6.00              
Vardas6411     Pavarde6411    8.64              8.00              
Vardas390      Pavarde390     8.64              6.00              
Vardas3054     Pavarde3054    8.64              8.00              
Vardas538      Pavarde538     8.64              6.00              
Vardas6914     Pavarde6914    8.64              6.00              
Vardas2665     Pavarde2665    8.64              8.00              
Vardas7140     Pavarde7140    8.64              7.00              
Vardas1775     Pavarde1775    8.64              8.00              
Vardas4229     Pavarde4229    8.64              7.00              
Vardas3137     Pavarde3137    8.64              9.00              
Vardas8066     Pavarde8066    8.64              8.00              
Vardas4895     Pavarde4895    8.64              9.00              
Vardas1601     Pavarde1601    8.64              7.00              
Vardas4529     Pavarde4529    8.64              9.00              
Vardas3833     Pavarde3833    8.64              6.00              
Vardas572      Pavarde572     8.64              8.00              
Vardas8028     Pavarde8028    8.64              7.00              
Vardas9336     Pavarde9336    8.64              7.00              
Vardas2587     Pavarde2587    8.64              6.00              
Vardas4017     Pavarde4017    8.64              6.00              
Vardas9183     Pavarde9183    8.64              5.00              
Vardas7365     Pavarde7365    8.64              8.00              
Vardas5587     Pavarde5587    8.60              8.00              
Vardas8315     Pavarde8315    8.60              8.00              
Vardas2616     Pavarde2616    8.60              9.00              
Vardas3164     Pavarde3164    8.60              8.00              
Vardas4557     Pavarde4557    8.60              8.00              
Vardas9597     Pavarde9597    8.60              8.00              
Vardas5536     Pavarde5536    8.60              9.00              
Vardas1026     Pavarde1026    8.60              8.00              
Vardas1435     Pavarde1435    8.60              8.00              
Vardas6097     Pavarde6097    8.60              8.00              
Vardas5050     Pavarde5050    8.60              9.00              
Vardas9237     Pavarde9237    8.60              9.00              
Vardas9897     Pavarde9897    8.60              9.00              
Vardas8874     Pavarde8874    8.56              7.00              
Vardas1017     Pavarde1017    8.56              7.00              
Vardas7708     Pavarde7708    8.56              7.00              
Vardas6469     Pavarde6469    8.56              7.00              
Vardas6291     Pavarde6291    8.56              6.00              
Vardas287      Pavarde287     8.56              8.00              
Vardas2659     Pavarde2659    8.56              7.00              
Vardas6414     Pavarde6414    8.56              7.00              
Vardas6867     Pavarde6867    8.56              6.00              
Vardas2653     Pavarde2653    8.56              7.00              
Vardas3296     Pavarde3296    8.56              7.00              
Vardas1416     Pavarde1416    8.56              9.00              
Vardas7717     Pavarde7717    8.56              7.00              
Vardas4057     Pavarde4057    8.56              7.00              
Vardas8101     Pavarde8101    8.56              6.00              
Vardas6624     Pavarde6624    8.56              6.00              
Vardas8717     Pavarde8717    8.56              6.00              
Vardas4667     Pavarde4667    8.56              7.00              
Vardas9187     Pavarde9187    8.56              6.00              
Vardas8181     Pavarde8181    8.56              7.00              
Vardas8129     Pavarde8129    8.56              7.00              
Vardas8138     Pavarde8138    8.56              8.00              
Vardas4063     Pavarde4063    8.56              7.00              
Vardas7119     Pavarde7119    8.56              7.00              
Vardas7074     Pavarde7074    8.56              7.00              
Vardas8132     Pavarde8132    8.56              8.00              
Vardas6532     Pavarde6532    8.56              6.00              
Vardas2310     Pavarde2310    8.56              7.00              
Vardas1732     Pavarde1732    8.56              6.00              
Vardas7867     Pavarde7867    8.56              6.00              
Vardas9228     Pavarde9228    8.56              5.00              
Vardas4060     Pavarde4060    8.56              6.00              
Vardas4552     Pavarde4552    8.56              6.00              
Vardas3793     Pavarde3793    8.56              7.00              
Vardas497      Pavarde497     8.56              6.00              
Vardas493      Pavarde493     8.56              6.00              
Vardas3451     Pavarde3451    8.56              7.00              
Vardas9261     Pavarde9261    8.56              8.00              
Vardas4520     Pavarde4520    8.56              8.00              
Vardas3841     Pavarde3841    8.56              5.00              
Vardas8167     Pavarde8167    8.56              6.00              
Vardas7843     Pavarde7843    8.56              7.00              
Vardas6949     Pavarde6949    8.56              6.00              
Vardas6090     Pavarde6090    8.56              6.00              
Vardas3365     Pavarde3365    8.56              5.00              
Vardas462      Pavarde462     8.56              8.00              
Vardas5839     Pavarde5839    8.56              5.00              
Vardas9555     Pavarde9555    8.56              8.00              
Vardas3467     Pavarde3467    8.56              5.00              
Vardas5429     Pavarde5429    8.56              7.00              
Vardas3962     Pavarde3962    8.56              5.00              
Vardas7054     Pavarde7054    8.56              6.00              
Vardas5439     Pavarde5439    8.56              6.00              
Vardas9161     Pavarde9161    8.56              6.00              
Vardas7481     Pavarde7481    8.56              8.00              
Vardas9913     Pavarde9913    8.56              5.00              
Vardas9097     Pavarde9097    8.56              6.00              
Vardas480      Pavarde480     8.56              7.00              
Vardas4946     Pavarde4946    8.56              8.00              
Vardas4137     Pavarde4137    8.52              9.00              
Vardas6268     Pavarde6268    8.52              10.00             
Vardas3555     Pavarde3555    8.52              9.00              
Vardas8536     Pavarde8536    8.52              9.00              
Vardas525      Pavarde525     8.52              9.00              
Vardas9745     Pavarde9745    8.52              8.00              
Vardas5601     Pavarde5601    8.52              8.00              
Vardas1498     Pavarde1498    8.52              9.00              
Vardas5648     Pavarde5648    8.52              8.00              
Vardas4213     Pavarde4213    8.52              8.00              
Vardas6426     Pavarde6426    8.52              8.00              
Vardas3766     Pavarde3766    8.52              8.00              
Vardas8071     Pavarde8071    8.52              9.00              
Vardas1658     Pavarde1658    8.52              9.00              
Vardas2267     Pavarde2267    8.52              8.00              
Vardas5368     Pavarde5368    8.52              9.00              
Vardas4462     Pavarde4462    8.48              7.00              
Vardas3069     Pavarde3069    8.48              7.00              
Vardas552      Pavarde552     8.48              6.00              
Vardas9657     Pavarde9657    8.48              5.00              
Vardas3907     Pavarde3907    8.48              6.00              
Vardas1198     Pavarde1198    8.48              6.00              
Vardas4915     Pavarde4915    8.48              5.00              
Vardas6413     Pavarde6413    8.48              6.00              
Vardas5248     Pavarde5248    8.48              6.00              
Vardas2211     Pavarde2211    8.48              6.00              
Vardas869      Pavarde869     8.48              6.00              
Vardas4974     Pavarde4974    8.48              5.00              
Vardas5128     Pavarde5128    8.48              8.00              
Vardas3870     Pavarde3870    8.48              6.00              
Vardas4044     Pavarde4044    8.48              6.00              
Vardas7937     Pavarde7937    8.48              9.00              
Vardas8292     Pavarde8292    8.48              9.00              
Vardas3830     Pavarde3830    8.48              5.00              
Vardas7836     Pavarde7836    8.48              7.00              
Vardas6083     Pavarde6083    8.48              6.00              
Vardas4826     Pavarde4826    8.48              7.00              
Vardas6146     Pavarde6146    8.48              9.00              
Vardas2929     Pavarde2929    8.48              6.00              
Vardas1212     Pavarde1212    8.48              6.00              
Vardas9967     Pavarde9967    8.48              6.00              
Vardas6734     Pavarde6734    8.48              5.00              
Vardas2401     Pavarde2401    8.48              5.00              
Vardas5797     Pavarde5797    8.48              6.00              
Vardas4402     Pavarde4402    8.48              7.00              
Vardas8281     Pavarde8281    8.48              5.00              
Vardas3026     Pavarde3026    8.48              7.00              
Vardas9977     Pavarde9977    8.48              6.00              
Vardas913      Pavarde913     8.48              7.00              
Vardas4026     Pavarde4026    8.48              6.00              
Vardas9932     Pavarde9932    8.48              6.00              
Vardas5035     Pavarde5035    8.48              7.00              
Vardas307      Pavarde307     8.48              5.00              
Vardas8882     Pavarde8882    8.48              7.00              
Vardas1186     Pavarde1186    8.48              7.00              
Vardas803      Pavarde803     8.48              7.00              
Vardas1563     Pavarde1563    8.48              7.00              
Vardas5476     Pavarde5476    8.48              6.00              
Vardas8876     Pavarde8876    8.48              6.00              
Vardas9334     Pavarde9334    8.48              7.00              
Vardas1952     Pavarde1952    8.48              7.00              
Vardas2358     Pavarde2358    8.48              6.00              
Vardas7061     Pavarde7061    8.48              6.00              
Vardas137      Pavarde137     8.48              8.00              
Vardas8560     Pavarde8560    8.48              7.00              
Vardas6972     Pavarde6972    8.48              6.00              
Vardas7895     Pavarde7895    8.48              7.00              
Vardas4952     Pavarde4952    8.48              6.00              
Vardas1475     Pavarde1475    8.48              5.00              
Vardas3779     Pavarde3779    8.48              6.00              
Vardas6036     Pavarde6036    8.48              7.00              
Vardas648      Pavarde648     8.48              6.00              
Vardas1501     Pavarde1501    8.48              6.00              
Vardas7318     Pavarde7318    8.48              6.00              
Vardas8285     Pavarde8285    8.48              7.00              
Vardas8835     Pavarde8835    8.48              8.00              
Vardas1619     Pavarde1619    8.48              7.00              
Vardas635      Pavarde635     8.48              5.00              
Vardas795      Pavarde795     8.44              9.00              
Vardas8709     Pavarde8709    8.44              9.00              
Vardas5788     Pavarde5788    8.44              7.00              
Vardas1038     Pavarde1038    8.44              8.00              
Vardas5564     Pavarde5564    8.44              8.00              
Vardas1703     Pavarde1703    8.44              9.00              
Vardas4296     Pavarde4296    8.44              9.00              
Vardas8307     Pavarde8307    8.44              8.00              
Vardas5800     Pavarde5800    8.44              7.00              
Vardas7902     Pavarde7902    8.44              9.00              
Vardas3312     Pavarde3312    8.44              8.00              
Vardas3162     Pavarde3162    8.44              8.00              
Vardas5355     Pavarde5355    8.44              8.00              
Vardas1583     Pavarde1583    8.44              7.00              
Vardas4270     Pavarde4270    8.44              9.00              
Vardas2321     Pavarde2321    8.44              9.00              
Vardas8113     Pavarde8113    8.40              6.00              
Vardas7049     Pavarde7049    8.40              5.00              
Vardas9918     Pavarde9918    8.40              5.00              
Vardas4593     Pavarde4593    8.40              5.00              
Vardas3515     Pavarde3515    8.40              7.00              
Vardas8103     Pavarde8103    8.40              6.00              
Vardas8804     Pavarde8804    8.40              7.00              
Vardas6692     Pavarde6692    8.40              6.00              
Vardas1337     Pavarde1337    8.40              7.00              
Vardas5071     Pavarde5071    8.40              6.00              
Vardas9552     Pavarde9552    8.40              6.00              
Vardas105      Pavarde105     8.40              7.00              
Vardas919      Pavarde919     8.40              6.00              
Vardas5367     Pavarde5367    8.40              7.00              
Vardas2285     Pavarde2285    8.40              6.00              
Vardas1815     Pavarde1815    8.40              6.00              
Vardas4899     Pavarde4899    8.40              6.00              
Vardas478      Pavarde478     8.40              9.00              
Vardas4338     Pavarde4338    8.40              7.00              
Vardas7665     Pavarde7665    8.40              7.00              
Vardas4018     Pavarde4018    8.40              6.00              
Vardas6762     Pavarde6762    8.40              6.00              
Vardas486      Pavarde486     8.40              6.00              
Vardas8365     Pavarde8365    8.40              8.00              
Vardas2163     Pavarde2163    8.40              6.00              
Vardas7039     Pavarde7039    8.40              6.00              
Vardas5408     Pavarde5408    8.40              6.00              
Vardas9276     Pavarde9276    8.40              6.00              
Vardas4613     Pavarde4613    8.40              6.00              
Vardas3642     Pavarde3642    8.40              6.00              
Vardas4801     Pavarde4801    8.40              7.00              
Vardas5974     Pavarde5974    8.40              7.00              
Vardas4849     Pavarde4849    8.40              7.00              
Vardas8514     Pavarde8514    8.40              6.00              
Vardas7279     Pavarde7279    8.40              6.00              
Vardas2308     Pavarde2308    8.40              5.00              
Vardas2681     Pavarde2681    8.40              5.00              
Vardas3900     Pavarde3900    8.40              5.00              
Vardas9622     Pavarde9622    8.40              8.00              
Vardas763      Pavarde763     8.40              6.00              
Vardas1571     Pavarde1571    8.40              8.00              
Vardas2517     Pavarde2517    8.40              7.00              
Vardas9534     Pavarde9534    8.40              6.00              
Vardas83       Pavarde83      8.40              6.00              
Vardas5637     Pavarde5637    8.40              5.00              
Vardas9941     Pavarde9941    8.40              6.00              
Vardas705      Pavarde705     8.40              6.00              
Vardas5497     Pavarde5497    8.40              7.00              
Vardas9877     Pavarde9877    8.40              8.00              
Vardas6811     Pavarde6811    8.40              6.00              
Vardas7533     Pavarde7533    8.40              6.00              
Vardas4516     Pavarde4516    8.40              6.00              
Vardas6750     Pavarde6750    8.40              7.00              
Vardas3939     Pavarde3939    8.40              6.00              
Vardas5792     Pavarde5792    8.40              8.00              
Vardas710      Pavarde710     8.40              5.00              
Vardas2507     Pavarde2507    8.40              6.00              
Vardas4957     Pavarde4957    8.40              7.00              
Vardas1016     Pavarde1016    8.40              7.00              
Vardas9498     Pavarde9498    8.40              9.00              
Vardas8672     Pavarde8672    8.40              6.00              
Vardas5816     Pavarde5816    8.36              8.00              
Vardas9218     Pavarde9218    8.36              8.00              
Vardas7608     Pavarde7608    8.36              7.00              
Vardas5694     Pavarde5694    8.36              8.00              
Vardas7024     Pavarde7024    8.36              8.00              
Vardas8321     Pavarde8321    8.36              8.00              
Vardas5877     Pavarde5877    8.36              7.00              
Vardas9760     Pavarde9760    8.36              9.00              
Vardas5063     Pavarde5063    8.36              7.00              
Vardas4858     Pavarde4858    8.36              8.00              
Vardas2349     Pavarde2349    8.36              7.00              
Vardas4322     Pavarde4322    8.36              9.00              
Vardas1999     Pavarde1999    8.36              8.00              
Vardas2312     Pavarde2312    8.36              8.00              
Vardas2479     Pavarde2479    8.36              8.00              
Vardas4435     Pavarde4435    8.36              9.00              
Vardas9424     Pavarde9424    8.36              8.00              
Vardas8306     Pavarde8306    8.36              8.00              
Vardas7560     Pavarde7560    8.36              8.00              
Vardas7236     Pavarde7236    8.36              7.00              
Vardas5520     Pavarde5520    8.36              8.00              
Vardas7524     Pavarde7524    8.36              8.00              
Vardas9503     Pavarde9503    8.36              9.00              
Vardas8711     Pavarde8711    8.36              9.00              
Vardas6358     Pavarde6358    8.36              8.00              
Vardas9927     Pavarde9927    8.36              8.00              
Vardas1314     Pavarde1314    8.36              7.00              
Vardas7772     Pavarde7772    8.36              9.00              
Vardas5314     Pavarde5314    8.36              9.00              
Vardas5313     Pavarde5313    8.36              9.00              
Vardas1353     Pavarde1353    8.36              7.00              
Vardas3613     Pavarde3613    8.36              7.00              
Vardas5158     Pavarde5158    8.32              6.00              
Vardas6580     Pavarde6580    8.32              5.00              
Vardas1452     Pavarde1452    8.32              5.00              
Vardas2112     Pavarde2112    8.32              5.00              
Vardas1449     Pavarde1449    8.32              6.00              
Vardas7035     Pavarde7035    8.32              6.00              
Vardas4898     Pavarde4898    8.32              5.00              
Vardas7098     Pavarde7098    8.32              5.00              
Vardas4959     Pavarde4959    8.32              7.00              
Vardas6494     Pavarde6494    8.32              5.00              
Vardas1467     Pavarde1467    8.32              6.00              
Vardas5361     Pavarde5361    8.32              6.00              
Vardas7230     Pavarde7230    8.32              9.00              
Vardas6026     Pavarde6026    8.32              5.00              
Vardas4546     Pavarde4546    8.32              6.00              
Vardas8785     Pavarde8785    8.32              5.00              
Vardas3522     Pavarde3522    8.32              5.00              
Vardas3046     Pavarde3046    8.32              5.00              
Vardas5613     Pavarde5613    8.32              5.00              
Vardas3350     Pavarde3350    8.32              6.00              
Vardas1545     Pavarde1545    8.32              6.00              
Vardas4788     Pavarde4788    8.32              7.00              
Vardas2778     Pavarde2778    8.32              5.00              
Vardas5070     Pavarde5070    8.32              6.00              
Vardas3342     Pavarde3342    8.32              6.00              
Vardas4356     Pavarde4356    8.32              6.00              
Vardas630      Pavarde630     8.32              7.00              
Vardas5494     Pavarde5494    8.32              6.00              
Vardas7849     Pavarde7849    8.32              6.00              
Vardas4631     Pavarde4631    8.32              5.00              
Vardas1986     Pavarde1986    8.32              6.00              
Vardas41       Pavarde41      8.32              7.00              
Vardas1976     Pavarde1976    8.32              8.00              
Vardas5396     Pavarde5396    8.32              5.00              
Vardas2776     Pavarde2776    8.32              4.00              
Vardas5220     Pavarde5220    8.32              5.00              
Vardas5880     Pavarde5880    8.32              6.00              
Vardas9199     Pavarde9199    8.32              5.00              
Vardas9601     Pavarde9601    8.32              6.00              
Vardas7019     Pavarde7019    8.32              6.00              
Vardas6065     Pavarde6065    8.32              6.00              
Vardas9060     Pavarde9060    8.32              7.00              
Vardas62       Pavarde62      8.32              6.00              
Vardas9407     Pavarde9407    8.32              6.00              
Vardas3818     Pavarde3818    8.32              5.00              
Vardas9669     Pavarde9669    8.32              7.00              
Vardas80       Pavarde80      8.32              6.00              
Vardas3608     Pavarde3608    8.32              7.00              
Vardas2246     Pavarde2246    8.32              6.00              
Vardas86       Pavarde86      8.32              6.00              
Vardas2962     Pavarde2962    8.32              6.00              
Vardas2868     Pavarde2868    8.32              7.00              
Vardas7656     Pavarde7656    8.28              7.00              
Vardas9479     Pavarde9479    8.28              8.00              
Vardas1351     Pavarde1351    8.28              7.00              
Vardas5304     Pavarde5304    8.28              7.00              
Vardas516      Pavarde516     8.28              8.00              
Vardas1024     Pavarde1024    8.28              7.00              
Vardas8616     Pavarde8616    8.28              8.00              
Vardas449      Pavarde449     8.28              8.00              
Vardas216      Pavarde216     8.28              9.00              
Vardas5970     Pavarde5970    8.28              8.00              
Vardas323      Pavarde323     8.28              8.00              
Vardas9492     Pavarde9492    8.28              7.00              
Vardas634      Pavarde634     8.28              9.00              
Vardas7417     Pavarde7417    8.28              9.00              
Vardas6246     Pavarde6246    8.28              7.00              
Vardas7803     Pavarde7803    8.28              8.00              
Vardas3691     Pavarde3691    8.28              8.00              
Vardas7515     Pavarde7515    8.28              8.00              
Vardas6454     Pavarde6454    8.28              6.00              
Vardas1390     Pavarde1390    8.28              8.00              
Vardas8783     Pavarde8783    8.28              9.00              
Vardas3813     Pavarde3813    8.28              9.00              
Vardas5223     Pavarde5223    8.28              7.00              
Vardas1277     Pavarde1277    8.28              7.00              
Vardas8450     Pavarde8450    8.28              6.00              
Vardas8549     Pavarde8549    8.28              8.00              
Vardas1006     Pavarde1006    8.28              9.00              
Vardas8478     Pavarde8478    8.28              8.00              
Vardas7809     Pavarde7809    8.28              8.00              
Vardas1565     Pavarde1565    8.28              9.00              
Vardas3950     Pavarde3950    8.24              5.00              
Vardas8276     Pavarde8276    8.24              5.00              
Vardas2044     Pavarde2044    8.24              3.00              
Vardas8836     Pavarde8836    8.24              5.00              
Vardas2262     Pavarde2262    8.24              4.00              
Vardas4425     Pavarde4425    8.24              5.00              
Vardas4316     Pavarde4316    8.24              5.00              
Vardas3353     Pavarde3353    8.24              10.00             
Vardas7755     Pavarde7755    8.24              7.00              
